model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A1,9.581972891547895,Manual,9.401043372798053,Petrol,95.0,56.5,1.4,Audi,1.791759469228055
 Q3,9.686636660844938,Manual,9.79823814181703,Diesel,145.0,62.8,2.0,Audi,1.6094379124341003
 A1,9.268703615273097,Manual,10.266775581745106,Petrol,95.0,55.4,1.4,Audi,1.791759469228055
 A3,10.146433731146518,Semi-Auto,8.294299608857235,Petrol,145.0,44.1,1.5,Audi,1.0986122886681098
 Q2,10.146433731146518,Semi-Auto,8.974364841846596,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
 A6,9.648659816955295,Automatic,10.116378727385987,Diesel,125.0,56.5,3.0,Audi,1.791759469228055
 Q3,9.692828247710418,Automatic,10.311482790497918,Diesel,160.0,51.4,2.0,Audi,1.9459101490553132
 A1,9.546884034617925,Manual,9.439704535103449,Petrol,95.0,58.9,1.4,Audi,1.6094379124341003
 A6,9.758519582283522,Automatic,10.103239644392968,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A1,9.268703615273097,Manual,9.652972804425787,Diesel,95.0,76.3,1.6,Audi,1.791759469228055
 A4,9.770013301136158,Manual,9.629576884168266,Petrol,145.0,51.4,1.4,Audi,1.3862943611198906
 A4,9.61587214452889,Manual,9.606764735432199,Petrol,145.0,52.3,1.4,Audi,1.6094379124341003
 A4,10.146433731146518,Semi-Auto,9.105090961257085,Petrol,145.0,38.7,2.0,Audi,1.0986122886681098
 A4,10.12667110305036,Manual,8.517393171418904,Petrol,145.0,38.7,2.0,Audi,1.0986122886681098
 Q2,10.34177474101152,Semi-Auto,8.35819745992578,Petrol,145.0,33.2,2.0,Audi,1.0986122886681098
 Q3,10.239995502805316,Manual,8.294299608857235,Diesel,145.0,42.8,2.0,Audi,1.0986122886681098
 Q3,10.239995502805316,Manual,8.294299608857235,Petrol,145.0,42.2,1.5,Audi,1.0986122886681098
 Q2,9.975808214115753,Manual,7.909122183211411,Diesel,145.0,49.6,1.6,Audi,1.0986122886681098
 Q2,10.165890277802454,Semi-Auto,8.294299608857235,Petrol,145.0,42.2,1.5,Audi,1.0986122886681098
 Q5,10.308985993422082,Semi-Auto,10.812753669473318,Diesel,175.0,42.2,3.0,Audi,1.791759469228055
 A4,9.741027444837728,Manual,9.551729074377214,Petrol,145.0,51.4,1.4,Audi,1.6094379124341003
 A4,9.581972891547895,Manual,10.047284820283895,Petrol,145.0,52.3,1.4,Audi,1.6094379124341003
 Q3,9.770013301136158,Automatic,10.33146403427305,Diesel,160.0,50.4,2.0,Audi,1.6094379124341003
